Threads count	OpenMP Duration (s)	MPI Duration (s)
01	154.10292	153.03909
02	77.12247	76.94257
03	51.40993	51.70887
04	38.56681	38.51279
05	30.85232	31.02685
06	25.66615	25.86048
07	22.04256	22.00741
08	19.23631	19.24414
09	17.20241	17.12175
10	15.63095	15.41703
11	14.02438	13.99679
12	12.82935	12.92997
13	11.87126	11.87690
14	11.02126	11.00742
15	10.24238	10.28733
16	9.62610	9.66255
17	9.03692	9.09266
18	8.57699	8.62165
19	8.15282	8.11572
20	7.72212	7.75864
21	7.54122	7.40910
22	7.33757	7.00738
23	7.25583	6.73170
24	7.16854	6.42439
25	7.30110	6.20959
26	6.71375	5.95676
27	6.73198	5.73113
28	6.33067	5.52273
29	6.79487	5.34710
30	6.83770	5.14551
31	6.40356	4.99646
32	6.36595	4.84120
33	6.55666	4.70718
34	6.96662	4.57090
35	6.61837	4.44309
36	6.60256	4.31075
37	6.05008	4.19991
38	6.24909	4.09061
39	6.18759	3.98913
40	5.93624	3.89547
41	5.83166	7.40793
42	5.80766	7.22555
43	5.95082	7.09074
44	6.07158	6.94103
45	6.05674	6.79077
46	5.86341	6.64554
47	6.00065	6.50278
48	6.01957	6.37275
49	5.86850	6.25228
50	5.58491	6.12416
51	5.65494	6.01378
52	5.19359	5.90776
53	5.48753	5.80608
54	4.71387	5.68966
55	5.35701	5.59722
56	5.27986	5.50071
57	5.16078	5.40457
58	4.89966	5.31446
59	5.03611	5.22600
60	4.95502	5.14199
61	4.82622	5.05765
62	4.79531	4.98561
63	4.86021	4.90466
64	4.65036	4.90853
65	4.63591	4.79210
66	4.69295	4.71512
67	4.63114	4.65541
68	4.55640	4.59302
69	4.49812	4.54208
70	4.42365	4.46226
71	4.37853	4.42429
72	4.29919	4.37293
73	4.27349	4.32527
74	4.21169	4.26926
75	4.15936	4.20786
76	4.11754	4.17630
77	4.06122	4.13000
78	4.00241	4.09580
79	3.95736	4.05132
80	3.92481	4.00444
81	4.69239	7.54702
82	4.63373	7.57510
83	4.61183	7.41874
84	4.48849	7.31067
85	4.52961	7.23202
86	4.49366	7.23237
87	4.66019	7.09446
88	4.49545	6.98588
89	4.73382	6.97126
90	4.48341	6.87942
91	4.57280	6.71229
92	4.67046	6.77249
93	4.70923	6.62387
94	4.64960	6.63044
95	4.52227	6.50905
96	4.58576	6.51063
97	4.58597	6.47217
98	4.69381	6.36859
99	4.59351	6.18105
100	4.51764	6.11783
101	4.47483	6.04177
102	4.52077	6.11432
103	4.58597	5.93275
104	4.47131	5.90023
105	4.39767	5.81473
106	4.48547	5.78877
107	4.44615	5.75833
108	4.49468	5.65781
109	4.38989	5.61464
110	4.44689	5.56813
111	4.48111	5.50121
112	4.56704	5.48274
113	4.39006	5.43075
114	4.44127	5.58418
115	4.40155	5.34964
116	4.39756	5.52115
117	4.44545	5.39816
118	4.45530	5.29596
119	4.44397	5.34896
120	4.41569	5.19191
121	4.47999	5.11205
122	4.43264	5.20093
123	4.48913	5.06846
124	4.48763	5.03162
125	4.57046	4.95475
126	4.47404	4.98615
127	4.41293	4.85181
128	4.45293	4.96777
129	4.44103	4.97626
130	4.51360	4.77808
131	4.52143	4.68657
132	4.53709	4.99561
133	4.38253	4.85414
134	4.46186	4.59787
135	4.59117	4.81730
136	4.59321	4.68107
137	4.57713	4.69152
138	4.49253	4.65007
139	4.53948	4.44528
140	4.50319	4.57473
141	4.48989	4.59327
142	4.55097	4.38008
143	4.47036	4.33260
144	4.53641	4.31872
145	4.53090	4.32482
146	4.58554	4.33587
147	4.50286	4.43406
148	4.53757	4.23455
149	4.58749	4.37966
150	4.59467	4.56215
151	4.60955	4.14916
152	4.49985	4.18265
153	4.48382	4.15254
154	4.51280	4.28086
155	4.55951	4.00530
156	4.53206	4.21806
157	4.56005	4.40710
158	4.48735	4.06030
159	4.57999	3.93184
160	4.61493	4.27191
